uid,status,subject,professor,college,school,remarks,subject_re,college_re,school_re,remark_re,create_at,update_at,live_check_status,live_check_staff
204,2,0,0,0,0,,0,0,0,,2019/9/13 15:42,2019/9/13 15:42,13,
205,2,0,0,0,0,,0,0,0,,2019/9/13 15:43,2019/9/13 15:43,13,
206,10,0,0,0,0,,0,0,0,,2019/9/13 15:45,2019/10/10 15:42,13,
207,2,0,0,0,0,,0,0,0,,2019/9/13 15:53,2019/9/13 15:53,13,
208,2,0,0,0,0,,0,0,0,,2019/9/13 15:57,2019/9/13 15:57,13,
209,7,0,0,0,0,,0,0,0,,2019/9/13 16:01,2019/9/27 19:19,1,8007001
210,2,0,0,0,0,,0,0,0,,2019/9/13 16:04,2019/9/13 16:04,13,
211,-5,0,0,0,0,,0,0,0,,2019/9/13 16:05,2019/9/30 14:07,13,
212,2,0,0,0,0,,0,0,0,,2019/9/13 16:06,2019/9/13 16:06,13,
213,2,0,0,0,0,,0,0,0,,2019/9/13 16:21,2019/9/13 16:21,13,
214,-3,0,0,0,0,,0,0,0,,2019/9/13 16:22,2019/9/26 12:00,13,
215,10,0,0,0,0,,0,0,0,,2019/9/13 16:24,2019/10/10 10:57,13,
216,2,0,0,0,0,,0,0,0,,2019/9/13 16:31,2019/9/13 16:31,13,
217,-4,0,0,0,0,,0,0,0,,2019/9/13 16:42,2019/9/26 12:15,13,
218,2,0,0,0,0,,0,0,0,,2019/9/13 16:48,2019/9/13 16:48,13,
219,3,0,0,0,0,,0,0,0,,2019/9/13 16:49,2019/9/17 9:47,13,
220,10,0,0,0,0,,0,0,0,,2019/9/13 16:59,2019/10/17 7:55,1,8007001
221,6,0,0,0,0,,0,0,0,,2019/9/13 17:05,2019/9/27 8:47,13,
222,2,0,0,0,0,,0,0,0,,2019/9/13 17:12,2019/9/13 17:12,13,
223,2,0,0,0,0,,0,0,0,,2019/9/13 17:18,2019/9/13 17:18,13,
224,2,0,0,0,0,,0,0,0,,2019/9/13 17:20,2019/9/13 17:20,13,
225,10,0,0,0,0,,0,0,0,,2019/9/13 17:29,2019/9/29 16:29,13,
226,2,0,0,0,0,,0,0,0,,2019/9/13 17:29,2019/9/13 17:29,13,
227,10,0,0,0,0,,0,0,0,,2019/9/13 20:56,2019/10/11 8:12,1,8007001
228,10,0,0,0,0,,0,0,0,,2019/9/14 9:06,2019/10/11 11:31,1,8013001
229,10,0,0,0,0,,0,0,0,,2019/9/14 10:23,2019/10/11 8:12,1,8007001
230,10,0,0,0,0,,0,0,0,,2019/9/14 10:50,2019/10/11 8:12,1,8007001
232,10,0,0,0,0,,0,0,0,,2019/9/14 11:15,2019/10/11 8:12,1,8007001
233,7,0,0,0,0,,0,0,0,,2019/9/14 12:33,2019/9/27 19:19,1,8011036
234,2,0,0,0,0,,0,0,0,,2019/9/14 12:54,2019/9/14 12:54,13,
235,10,0,0,0,0,,0,0,0,,2019/9/14 14:41,2019/10/11 8:12,1,8007001
236,2,0,0,0,0,,0,0,0,,2019/9/14 16:24,2019/9/14 16:24,13,
237,7,0,0,0,0,,0,0,0,,2019/9/14 16:33,2019/10/8 16:14,13,
238,2,0,0,0,0,,0,0,0,,2019/9/14 21:42,2019/9/14 21:42,13,
241,2,0,0,0,0,,0,0,0,,2019/9/16 8:19,2019/9/16 8:19,13,
242,3,0,0,0,0,,0,0,0,,2019/9/16 8:36,2019/9/18 19:28,13,
243,3,0,0,0,0,,0,0,0,,2019/9/16 8:39,2019/9/19 13:43,13,
244,3,0,0,0,0,,0,0,0,,2019/9/16 8:39,2019/9/16 9:31,13,
245,7,0,0,0,0,,0,0,0,,2019/9/16 8:44,2019/10/15 17:42,13,
246,2,0,0,0,0,,0,0,0,,2019/9/16 8:47,2019/9/16 8:47,13,
247,-3,0,0,0,0,,0,0,0,,2019/9/16 9:02,2019/9/23 15:08,5,8013011
249,-3,0,0,0,0,,0,0,0,,2019/9/16 9:08,2019/9/26 9:45,13,
251,-4,0,0,0,0,,0,0,0,,2019/9/16 9:19,2019/9/26 14:05,13,
254,-5,0,0,0,0,,0,0,0,,2019/9/16 9:29,2019/10/10 15:23,13,
255,2,0,0,0,0,,0,0,0,,2019/9/16 9:34,2019/9/16 9:34,13,
256,3,0,0,0,0,,0,0,0,,2019/9/16 9:34,2019/9/16 16:08,13,
257,-4,0,0,0,0,,0,0,0,,2019/9/16 9:52,2019/9/26 13:56,13,
258,3,0,0,0,0,,0,0,0,,2019/9/16 9:54,2019/9/17 15:35,13,
259,3,0,0,0,0,,0,0,0,,2019/9/16 9:54,2019/9/16 10:55,13,
260,5,0,0,0,0,,0,0,0,,2019/9/16 9:59,2019/9/19 9:18,13,
261,2,0,0,0,0,,0,0,0,,2019/9/16 10:01,2019/9/16 10:01,13,
262,5,0,0,0,0,,0,0,0,,2019/9/16 10:03,2019/9/26 11:03,13,
263,-3,0,0,0,0,,0,0,0,,2019/9/16 10:03,2019/9/26 9:44,13,
265,10,0,0,0,0,,0,0,0,,2019/9/16 10:13,2019/10/11 11:18,1,8013001
266,7,0,0,0,0,,0,0,0,,2019/9/16 10:17,2019/9/27 19:19,1,8007001
267,10,0,0,0,0,,0,0,0,,2019/9/16 10:19,2019/10/8 11:06,13,
269,5,0,0,0,0,,0,0,0,,2019/9/16 10:24,2019/9/24 20:27,13,
270,-4,0,0,0,0,,0,0,0,,2019/9/16 10:24,2019/9/26 14:34,13,
271,-3,0,0,0,0,,0,0,0,,2019/9/16 10:38,2019/9/26 12:00,13,
272,3,0,0,0,0,,0,0,0,,2019/9/16 10:45,2019/9/16 11:35,13,
273,2,0,0,0,0,,0,0,0,,2019/9/16 10:52,2019/9/16 10:52,13,
274,3,0,0,0,0,,0,0,0,,2019/9/16 11:12,2019/9/16 16:48,13,
276,10,0,0,0,0,,0,0,0,,2019/9/16 11:21,2019/9/29 16:29,13,
277,2,0,0,0,0,,0,0,0,,2019/9/16 11:34,2019/9/16 11:34,13,
278,3,0,0,0,0,,0,0,0,,2019/9/16 11:41,2019/9/16 13:42,13,
279,5,0,0,0,0,,0,0,0,,2019/9/16 11:46,2019/9/25 18:17,13,
280,2,0,0,0,0,,0,0,0,,2019/9/16 11:54,2019/9/16 11:54,13,
281,10,0,0,0,0,,0,0,0,,2019/9/16 12:01,2019/10/15 8:06,13,
282,7,0,0,0,0,,0,0,0,,2019/9/16 12:13,2019/10/8 16:09,13,
283,3,0,0,0,0,,0,0,0,,2019/9/16 12:20,2019/9/18 13:43,13,
284,2,0,0,0,0,,0,0,0,,2019/9/16 12:36,2019/9/16 12:36,13,
285,-3,0,0,0,0,,0,0,0,,2019/9/16 12:37,2019/9/26 12:00,13,
286,10,0,0,0,0,,0,0,0,,2019/9/16 12:50,2019/10/11 8:12,1,8007001
287,2,0,0,0,0,,0,0,0,,2019/9/16 12:51,2019/9/16 12:51,13,
288,5,0,0,0,0,,0,0,0,,2019/9/16 12:59,2019/9/25 23:43,13,
289,3,0,0,0,0,,0,0,0,,2019/9/16 13:12,2019/9/25 13:34,13,
290,2,0,0,0,0,,0,0,0,,2019/9/16 13:16,2019/9/16 13:16,13,
291,10,0,0,0,0,,0,0,0,,2019/9/16 13:19,2019/10/10 10:57,13,
292,2,0,0,0,0,,0,0,0,,2019/9/16 13:31,2019/9/16 13:31,13,
293,-3,0,0,0,0,,0,0,0,,2019/9/16 13:32,2019/9/26 9:44,13,
294,7,0,0,0,0,,0,0,0,,2019/9/16 13:37,2019/9/27 19:19,13,
295,3,0,0,0,0,,0,0,0,,2019/9/16 13:48,2019/9/16 15:28,13,
296,2,0,0,0,0,,0,0,0,,2019/9/16 13:49,2019/9/16 13:49,13,
297,4,0,0,0,0,,0,0,0,,2019/9/16 13:51,2019/10/11 8:57,1,8008001
298,3,0,0,0,0,,0,0,0,,2019/9/16 13:52,2019/9/18 13:15,13,
299,3,0,0,0,0,,0,0,0,,2019/9/16 13:54,2019/9/17 8:56,13,
300,7,0,0,0,0,,0,0,0,,2019/9/16 14:10,2019/9/27 15:43,1,8013001
301,7,0,0,0,0,,0,0,0,,2019/9/16 14:11,2019/9/27 19:19,1,8011036
302,3,0,0,0,0,,0,0,0,,2019/9/16 14:18,2019/9/16 16:41,13,
303,7,0,0,0,0,,0,0,0,,2019/9/16 14:25,2019/9/29 14:23,13,
304,10,0,0,0,0,,0,0,0,,2019/9/16 14:27,2019/10/8 11:03,13,
305,5,0,0,0,0,,0,0,0,,2019/9/16 14:28,2019/9/24 20:27,13,
306,3,0,0,0,0,,0,0,0,,2019/9/16 14:32,2019/9/16 15:51,13,
307,2,0,0,0,0,,0,0,0,,2019/9/16 14:38,2019/9/24 19:47,13,
308,7,0,0,0,0,,0,0,0,,2019/9/16 14:43,2019/10/15 17:43,13,
309,3,0,0,0,0,,0,0,0,,2019/9/16 14:58,2019/9/16 15:50,13,
310,7,0,0,0,0,,0,0,0,,2019/9/16 15:03,2019/9/27 19:19,1,8011036
312,-3,0,0,0,0,,0,0,0,,2019/9/16 15:18,2019/9/25 23:27,13,
313,3,0,0,0,0,,0,0,0,,2019/9/16 15:23,2019/9/16 16:24,13,
314,-4,0,0,0,0,,0,0,0,,2019/9/16 15:26,2019/9/22 21:11,1,8013001
315,2,0,0,0,0,,0,0,0,,2019/9/16 15:33,2019/9/16 15:33,13,
316,7,0,0,0,0,,0,0,0,,2019/9/16 15:39,2019/9/27 19:19,1,8007001
317,3,0,0,0,0,,0,0,0,,2019/9/16 15:46,2019/9/17 11:28,13,
318,2,0,0,0,0,,0,0,0,,2019/9/16 15:50,2019/9/16 15:50,13,
319,6,0,0,0,0,,0,0,0,,2019/9/16 15:50,2019/9/24 21:04,13,
320,6,0,0,0,0,,0,0,0,,2019/9/16 15:52,2019/9/27 11:32,1,8007001
322,-5,0,0,0,0,,0,0,0,,2019/9/16 16:04,2019/9/29 15:39,13,
323,3,0,0,0,0,,0,0,0,,2019/9/16 16:08,2019/9/16 16:54,13,
