,uid,level,SSDM
960,444.0,2,52.0
961,642.0,2,52.0
962,788.0,2,52.0
963,398.0,1,14.0
964,702.0,1,14.0
965,1166.0,1,14.0
966,403.0,1,32.0
967,406.0,2,21.0
968,558.0,2,21.0
969,566.0,2,21.0
970,620.0,2,21.0
971,896.0,2,21.0
972,1086.0,2,21.0
973,1100.0,2,21.0
974,412.0,1,32.0
975,419.0,1,44.0
976,440.0,1,14.0
977,484.0,1,14.0
978,504.0,1,14.0
979,781.0,1,14.0
980,914.0,1,14.0
981,1084.0,1,14.0
982,445.0,2,11.0
983,449.0,1,11.0
984,453.0,1,51.0
985,457.0,1,51.0
986,459.0,1,51.0
987,475.0,1,51.0
988,527.0,1,51.0
989,895.0,1,51.0
990,458.0,1,12.0
991,991.0,1,12.0
992,463.0,1,43.0
993,814.0,1,43.0
994,875.0,1,43.0
995,912.0,1,43.0
996,467.0,1,51.0
997,715.0,1,51.0
998,478.0,1,36.0
999,1167.0,1,36.0
1000,480.0,2,15.0
1001,496.0,2,15.0
1002,552.0,2,15.0
1003,652.0,2,15.0
1004,1176.0,2,15.0
1005,483.0,2,41.0
1006,1129.0,2,41.0
1007,500.0,2,11.0
1008,880.0,2,11.0
1009,502.0,1,42.0
1010,506.0,1,53.0
1011,515.0,1,53.0
1012,512.0,2,32.0
1013,518.0,1,62.0
1014,520.0,1,37.0
1015,573.0,1,37.0
1016,611.0,1,37.0
1017,856.0,1,37.0
1018,523.0,1,37.0
1019,953.0,1,37.0
1020,524.0,1,34.0
1021,591.0,1,34.0
1022,526.0,1,62.0
1023,529.0,1,14.0
1024,627.0,1,14.0
1025,648.0,1,14.0
1026,669.0,1,14.0
1027,725.0,1,14.0
1028,835.0,1,14.0
1029,846.0,1,14.0
1030,917.0,1,14.0
1031,1066.0,1,14.0
1032,1164.0,1,14.0
1033,538.0,1,42.0
1034,540.0,1,43.0
1035,542.0,1,61.0
1036,1121.0,1,61.0
1037,1124.0,1,61.0
