,uid,honour
370,66.0,“互联网+”省级铜奖“互联网+”大学生创新创业大赛省级铜奖省市级
371,66.0,大学生英语竞赛二等奖全国大学生英语竞赛C类二等奖国家级
372,66.0,校三好大二学年校级三好学生校级
373,66.0,世纪之星三等奖河北师范大学“世纪之星”英语阅读比赛，获得非专业组三等奖校级
374,66.0,evc二等奖全国高校企业价值创造实战竞赛-校内赛二等奖校级
375,66.0,挑战杯三等奖河北师范大学“挑战杯”课外学术科技作品竞赛，获得三等奖校级
376,66.0,商务英语口语三等奖河北师范大学商务英语口语大赛，获得三等奖校级
377,67.0,nannannan
378,68.0,nannannan
379,70.0,校三好学生一等奖学金nan校级
380,70.0,江苏山水集团奖学金nan校级
381,70.0,仁孝京博奖学金nan校级
382,70.0,社会实践奖nan校级
383,70.0,18三好学生一等奖学金nan校级
384,70.0,校优秀共青团员nan校级
385,70.0,校优秀志愿者nan校级
386,70.0,中山植物园优秀志愿者nan院级
387,70.0,微观摄影大赛一等奖nan校级
388,70.0,最美南农摄影比赛三等nan校级
389,70.0,江苏省计算机二级优秀nan省市级
390,70.0,普通话二级甲等nan省市级
391,70.0,入党初心征文比赛优秀nan校级
392,70.0,景观设计大赛优秀nan校级
393,71.0,校三好学生奖学金专业智育成绩第一校级
394,71.0,互联网创新大赛一等奖通过对多肉植物装饰价值的再开发，将高观赏价值的多肉植物与不同材料和造型尺寸的器皿相结合，打造一系列以“造型简洁美观、养护方便、彰显个性”为特征的以多肉植物为主体的装饰物，力求拓宽生活装饰物的领域。校级
395,71.0,插花比赛一等奖红粉白黄吐芳华，富丽堂皇尊贵花。感恩师如春风沐，祝愿东农更火红。火红的红掌，表达了我们对老师和母校浓浓的爱意；浓绿的马蔺，象征着我们的母校春意盎然，蒸蒸日上。各种花材错落有致，五彩缤纷，争相开放，形成如火如虹的气势，震人心魄。校级
396,71.0,三下乡社会实践优秀奖新形势的干花，干果，干叶的附属品，以及适合与“干物语”建立合作的乡村。形成“干物语”团队—乡村产业链。根据“干物语”的技术特点以及研究方向，找到合适的，能提供原料，以及地区特色，特产的乡村进行合作，进行技术、创意产品的宣传，同时发展当地农村的经济。校级
397,71.0,三下乡社会实践二等奖新形势的干花，干果，干叶的附属品，以及适合与“干物语”建立合作的乡村。形成“干物语”团队—乡村产业链。根据“干物语”的技术特点以及研究方向，找到合适的，能提供原料，以及地区特色，特产的乡村进行合作，进行技术、创意产品的宣传，同时发展当地农村的经济。院级
398,71.0,普通话测试一级乙等nan国家级
399,72.0,nannannan
400,73.0,国家励志奖学金nan国家级
401,74.0,北林心理研讨优异学员北京林业大学心理学系暑期研讨会优异学员院级
402,74.0,京师杯三等奖北京师范大学2019年京师杯学术论文竞赛三等奖校级
403,74.0,北师新生一等奖学金北京师范大学2016年度新生奖学金一等奖校级
404,74.0,北师京师一等奖学金2016-2017年度北京师范大学京师奖学金一等奖校级
405,75.0,nannannan
406,76.0,nannannan
407,77.0,nannannan
408,78.0,第六届全国大学生数字第六届全国大学生数字媒体科技作品及创意竞赛一等奖国家级
409,78.0,北京高校大学生数字媒北京高校大学生数字媒体设计大赛互联网应用A类一等奖省市级
410,78.0,华北五省及港澳台大学华北五省及港澳台大学生计算机应用大赛本科组三等奖国家级
411,78.0,第一届中国模式识别与第一届中国模式识别与计算机视觉大会军事地面目标识别竞赛优秀团队奖省市级
412,78.0,校级年度优秀学生奖学校级年度优秀学生奖学金三等奖校级
413,78.0,校级年度优秀学生干部校级年度优秀学生干部（团委）校级
414,78.0,校级学生军训优秀标兵校级学生军训优秀标兵校级
415,79.0,nannannan
416,80.0,第十届园冶杯二等奖参赛作品《蛛丝生长——石景山区模式口地区景观规划更新设计》获第十届园冶杯大学生国际竞赛二等奖省市级
417,80.0,北京建造节二等奖作品《瞬间》获2017北京建造节二等奖省市级
418,80.0,八角设计竞赛三等奖参赛作品《∞＞1见微·联结·社区微生活营造》获石景山区八角街道腾退空间再利用设计项目大赛三等奖校级
419,80.0,校级三好学生被评为2017-2018年度校级三好学生校级
420,80.0,校级优秀团员被评为2018-2019年度校级优秀团员校级
421,80.0,优秀新媒体宣传金奖于学生会新闻部任副部长，在“玉兰杯”新闻奖评选中荣获优秀新媒体宣传金奖校级
